cauldron,date,start_time_epoch,end_time_epoch,section_drain_slope_per_min,section_drain_duration_minutes
cauldron_001,2025-10-30,1761791760,1761791820,-0.03999999999999205,1.0
cauldron_001,2025-10-30,1761797220,1761797280,-0.03000000000000114,1.0
cauldron_001,2025-10-30,1761798780,1761798840,-0.03000000000000114,1.0
cauldron_001,2025-10-30,1761803700,1761803760,-0.03999999999996361,1.0
cauldron_001,2025-10-30,1761807300,1761807360,-0.05000000000001136,1.0
cauldron_001,2025-10-30,1761810720,1761810780,-0.02999999999997271,1.0
cauldron_001,2025-10-30,1761813180,1761813240,-0.04000000000002046,1.0
cauldron_001,2025-10-30,1761816840,1761816900,-0.05000000000001136,1.0
cauldron_001,2025-10-30,1761819060,1761819120,-0.04000000000002046,1.0
cauldron_001,2025-10-30,1761819900,1761820020,-0.03500000000002501,2.0
cauldron_001,2025-10-30,1761820380,1761820440,-0.009999999999990903,1.0
cauldron_001,2025-10-30,1761823740,1761823800,-0.06000000000000228,1.0
cauldron_001,2025-10-30,1761824880,1761824940,-0.049999999999954525,1.0
cauldron_001,2025-10-30,1761825840,1761825900,-0.05000000000001136,1.0
cauldron_001,2025-10-30,1761827400,1761827520,-0.03499999999999659,2.0
cauldron_001,2025-10-30,1761828600,1761828660,-0.02999999999997271,1.0
cauldron_001,2025-10-30,1761830040,1761830100,-0.009999999999990903,1.0
cauldron_001,2025-10-30,1761830400,1761830460,-0.02999999999997271,1.0
cauldron_001,2025-10-30,1761831240,1761831300,-0.009999999999990903,1.0
cauldron_001,2025-10-30,1761831900,1761831960,-0.02999999999997271,1.0
cauldron_001,2025-10-30,1761834420,1761834480,-0.019999999999981807,1.0
cauldron_001,2025-10-30,1761836820,1761836880,-0.05000000000001136,1.0
cauldron_001,2025-10-30,1761837780,1761837840,-0.06000000000000228,1.0
cauldron_001,2025-10-30,1761839580,1761839640,-0.02000000000003865,1.0
cauldron_001,2025-10-30,1761839760,1761839820,-0.06999999999999318,1.0
cauldron_001,2025-10-30,1761840180,1761840300,-0.04499999999998749,2.0
cauldron_001,2025-10-30,1761840840,1761840900,-0.08000000000004093,1.0
cauldron_001,2025-10-30,1761841260,1761841320,-0.019999999999981807,1.0
cauldron_001,2025-10-30,1761844320,1761844380,-0.009999999999990903,1.0
cauldron_001,2025-10-30,1761846120,1761846180,-0.019999999999981807,1.0
cauldron_001,2025-10-30,1761847680,1761847740,-0.0799999999999841,1.0
cauldron_001,2025-10-30,1761848760,1761848820,-0.07999999999998407,1.0
cauldron_001,2025-10-30,1761849960,1761850020,-0.019999999999981807,1.0
cauldron_001,2025-10-30,1761852840,1761852900,-0.03000000000002956,1.0
cauldron_001,2025-10-30,1761854340,1761854400,-0.08000000000004093,1.0
cauldron_001,2025-10-30,1761859500,1761859560,-0.04000000000002046,1.0
cauldron_001,2025-10-30,1761865560,1761865620,-0.009999999999990903,1.0
cauldron_001,2025-10-30,1761865800,1761865860,-0.009999999999990903,1.0
cauldron_001,2025-10-30,1761868560,1761868620,-0.07999999999998407,1.0
cauldron_001,2025-10-31,1761869640,1761869760,-0.03499999999999658,2.0
cauldron_001,2025-10-31,1761871560,1761871620,-0.009999999999990903,1.0
cauldron_001,2025-10-31,1761872880,1761872940,-0.04000000000002046,1.0
cauldron_001,2025-10-31,1761873900,1761873960,-0.0799999999999841,1.0
cauldron_001,2025-10-31,1761874380,1761874440,-0.06999999999999318,1.0
cauldron_001,2025-10-31,1761875460,1761875700,-0.0630000000000052,4.0
cauldron_001,2025-10-31,1761877800,1761877860,-0.02999999999997271,1.0
cauldron_001,2025-10-31,1761878580,1761878640,-0.019999999999981807,1.0
cauldron_001,2025-10-31,1761878940,1761879060,-0.06000000000000227,2.0
cauldron_001,2025-10-31,1761879660,1761879720,-0.03000000000002956,1.0
cauldron_001,2025-10-31,1761880740,1761880920,-0.06700000000000156,3.0
cauldron_001,2025-10-31,1761881160,1761881220,-0.03999999999996361,1.0
cauldron_001,2025-10-31,1761881520,1761881580,-0.05000000000001136,1.0
cauldron_001,2025-10-31,1761885540,1761885660,-0.08500000000000796,2.0
cauldron_001,2025-10-31,1761886200,1761886320,-0.020000000000010232,2.0
cauldron_001,2025-10-31,1761887040,1761887100,-0.06999999999999318,1.0
cauldron_001,2025-10-31,1761888540,1761888600,-0.08000000000004093,1.0
cauldron_001,2025-10-31,1761889020,1761889080,-0.10000000000002271,1.0
cauldron_001,2025-10-31,1761889260,1761889320,-0.009999999999990903,1.0
cauldron_001,2025-10-31,1761889440,1761889500,-0.009999999999990903,1.0
cauldron_001,2025-10-31,1761890220,1761890280,-0.05000000000001136,1.0
cauldron_001,2025-10-31,1761891780,1761891840,-0.03000000000002956,1.0
cauldron_001,2025-10-31,1761892020,1761892080,-0.08999999999997499,1.0
cauldron_001,2025-10-31,1761892500,1761892560,-0.0799999999999841,1.0
cauldron_001,2025-10-31,1761893520,1761893580,-0.04000000000002046,1.0
cauldron_001,2025-10-31,1761895080,1761895200,-0.03499999999999659,2.0
cauldron_001,2025-10-31,1761895680,1761895740,-0.07000000000005002,1.0
cauldron_001,2025-10-31,1761896220,1761896280,-0.02999999999997271,1.0
cauldron_001,2025-10-31,1761896940,1761897000,-0.03999999999996361,1.0
cauldron_001,2025-10-31,1761898140,1761898200,-0.09999999999996587,1.0
cauldron_001,2025-10-31,1761901740,1761901800,-0.05000000000001136,1.0
cauldron_001,2025-10-31,1761902340,1761902400,-0.009999999999990903,1.0
cauldron_001,2025-10-31,1761903420,1761903480,-0.019999999999981807,1.0
cauldron_001,2025-10-31,1761903660,1761903720,-0.0999999999999659,1.0
cauldron_001,2025-10-31,1761905160,1761905220,-0.06999999999999318,1.0
cauldron_001,2025-10-31,1761905340,1761905400,-0.06999999999999318,1.0
cauldron_001,2025-10-31,1761905940,1761906000,-0.010000000000047747,1.0
cauldron_001,2025-10-31,1761906300,1761906420,-0.05500000000000681,2.0
cauldron_001,2025-10-31,1761906600,1761906660,-0.03000000000002956,1.0
cauldron_001,2025-10-31,1761906780,1761906840,-0.04000000000002046,1.0
